,,Distribution of causes of death among children aged < 5 years (%),Distribution of causes of death among children aged < 5 years (%),Distribution of causes of death among children aged < 5 years (%)
,China,China,China,
GBDCHILDCAUSES,Year,0-27 days,1-59 months,0-4 years
HIV/AIDS,2013,0,0.8,0.3
HIV/AIDS,2012,0,0.8,0.3
HIV/AIDS,2011,0,0.8,0.3
HIV/AIDS,2010,0,0.7,0.3
HIV/AIDS,2009,0,0.7,0.3
HIV/AIDS,2008,0,0.6,0.3
HIV/AIDS,2007,0,0.6,0.3
HIV/AIDS,2006,0,0.5,0.2
HIV/AIDS,2005,0,0.4,0.2
HIV/AIDS,2004,0,0.3,0.2
HIV/AIDS,2003,0,0.3,0.1
HIV/AIDS,2002,0,0.2,0.1
HIV/AIDS,2001,0,0.2,0.1
HIV/AIDS,2000,0,0.2,0.1
Diarrhoeal diseases,2013,2,6.7,3.9
Diarrhoeal diseases,2012,2,6.8,3.9
Diarrhoeal diseases,2011,2,7.1,4
Diarrhoeal diseases,2010,2,7.4,4.2
Diarrhoeal diseases,2009,2,7.8,4.4
Diarrhoeal diseases,2008,2,8.1,4.6
Diarrhoeal diseases,2007,2,8.7,4.8
Diarrhoeal diseases,2006,2,9.4,5.2
Diarrhoeal diseases,2005,2,9.9,5.5
Diarrhoeal diseases,2004,2,10.6,5.8
Diarrhoeal diseases,2003,2,11.3,6.2
Diarrhoeal diseases,2002,2,11.9,6.6
Diarrhoeal diseases,2001,2,12.3,7
Diarrhoeal diseases,2000,2,12.5,7.2
Pertussis,2013,0.1,1.8,0.8
Pertussis,2012,0.1,1.7,0.7
Pertussis,2011,0.1,1.6,0.7
Pertussis,2010,0,1.4,0.6
Pertussis,2009,0,1.3,0.6
Pertussis,2008,0,1.2,0.5
Pertussis,2007,0,1.1,0.5
Pertussis,2006,0,1,0.5
Pertussis,2005,0,0.9,0.4
Pertussis,2004,0,0.8,0.4
Pertussis,2003,0,0.7,0.4
Pertussis,2002,0,0.7,0.3
Pertussis,2001,0,0.6,0.3
Pertussis,2000,0,0.5,0.3
Tetanus,2013,0.1,0,0
Tetanus,2012,0.1,0,0
Tetanus,2011,0.1,0,0.1
Tetanus,2010,0.1,0,0.1
Tetanus,2009,0.1,0,0.1
Tetanus,2008,0.1,0,0.1
Tetanus,2007,0.2,0,0.1
Tetanus,2006,0.3,0,0.2
Tetanus,2005,0.3,0,0.2
Tetanus,2004,0.4,0,0.2
Tetanus,2003,0.5,0,0.3
Tetanus,2002,0.4,0,0.3
Tetanus,2001,0.5,0,0.3
Tetanus,2000,0.6,0.1,0.3
Measles,2013,0,0.9,0.4
Measles,2012,0,0.7,0.3
Measles,2011,0,0.8,0.3
Measles,2010,0,1,0.4
Measles,2009,0,1.8,0.7
Measles,2008,0,2.4,1
Measles,2007,0,1.8,0.8
Measles,2006,0,1.6,0.7
Measles,2005,0,1.7,0.8
Measles,2004,0,1.6,0.7
Measles,2003,0,1.4,0.6
Measles,2002,0,1.2,0.6
Measles,2001,0,1.4,0.7
Measles,2000,0,1.2,0.6
Meningitis/encephalitis,2013,0,6.5,2.5
Meningitis/encephalitis,2012,0,6.5,2.6
Meningitis/encephalitis,2011,0,6.5,2.6
Meningitis/encephalitis,2010,0,6.3,2.6
Meningitis/encephalitis,2009,0,6.3,2.6
Meningitis/encephalitis,2008,0,6.1,2.5
Meningitis/encephalitis,2007,0,6,2.5
Meningitis/encephalitis,2006,0,6,2.6
Meningitis/encephalitis,2005,0,5.8,2.5
Meningitis/encephalitis,2004,0,5.7,2.5
Meningitis/encephalitis,2003,0,5.5,2.5
Meningitis/encephalitis,2002,0,5.4,2.5
Meningitis/encephalitis,2001,0,5.2,2.5
Meningitis/encephalitis,2000,0,5.1,2.5
Malaria,2013,0,0,0
Malaria,2012,0,0,0
Malaria,2011,0,0,0
Malaria,2010,0,0,0
Malaria,2009,0,0,0
Malaria,2008,0,0,0
Malaria,2007,0,0,0
Malaria,2006,0,0,0
Malaria,2005,0,0,0
Malaria,2004,0,0,0
Malaria,2003,0,0,0
Malaria,2002,0,0,0
Malaria,2001,0,0,0
Malaria,2000,0,0,0
Acute lower respiratory infections,2013,6.5,24.4,13.5
Acute lower respiratory infections,2012,6.5,24.5,13.6
Acute lower respiratory infections,2011,6.7,25.6,14.2
Acute lower respiratory infections,2010,6.8,26.8,14.9
Acute lower respiratory infections,2009,7,28.1,15.7
Acute lower respiratory infections,2008,7.2,29.5,16.5
Acute lower respiratory infections,2007,7.4,31.7,17.6
Acute lower respiratory infections,2006,7.7,34,19
